,address,description,postal_code,lat,lon
45,"2 SIMEI STREET 3, ADMIRALTY PLACE","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",529889,1.34068473973667,103.949294393687
46,"385 BEACH ROAD, KAMPONG GLAM CC","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",199581,1.30279521839327,103.863597858268
47,"4 QUEEN’S ROAD, FARRER GARDENS RC","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",260004,1.31883225067726,103.808061968709
48,"116 HOUGANG AVENUE 1, PAYA LEBAR ZONE 5 RC, #01-1206","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",530116,1.35313871558187,103.887727364285
49,"653A JURONG WEST ST 61, PIONEER ZONE 12 RN, #01-422","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",641653,1.33689136709064,103.696638818729
50,"20 CHOA CHU KANG STREET 52, YEW TEE CC","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",689286,1.39491758447052,103.744727853367
51,"353 WOODLANDS AVENUE 1, WOODGROVE CC","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",730353,1.43177102177052,103.785006866148
52,"BLK 4 WOODLANDS STREET 12, #02-61",Bin collection; E-waste accepted: Batteries and Lamps only,738623,1.43351252898231,103.779746868505
53,"57 DAWSON RD, DAWSON PLACE","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",142057,1.2927033928985,103.81095896399
54,"54 CHIN SWEE ROAD HDB-CENTRAL AREA, 54 CHIN SWEE RD","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",160054,1.28738855750969,103.841152117124
55,"809 FRENCH ROAD, KITCHENER COMPLEX","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",200808,1.30880609288659,103.861311962893
56,"238 THOMSON ROAD, NOVENA SQUARE","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",307683,1.32021099973819,103.843656770909
57,"6 LORONG TOA PAYOH, HDB HUB","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",310480,1.33214111914629,103.848326054144
58,"70 GEYLANG BAHRU, 70 GEYLANG BAHRU","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",330070,1.32188556778471,103.870318570635
59,"121 POTONG PASIR AVENUE, HDB-POTONG PASIR","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",350121,1.33576029121741,103.865597002044
60,"60 PAYA LEBAR RD, PAYA LEBAR SQUARE","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",409051,1.3186757503745,103.892550607124
61,"259 PASIR RIS STREET 21, LOYANG POINT","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",510258,1.36700053783377,103.964617781926
62,"623 ELIAS ROAD, ELIAS MALL","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",510623,1.37790945286479,103.942281486106
63,"735 PASIR RIS STREET 72, PASIR RIS WEST PLAZA","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",510735,1.37930651729418,103.936272108833
64,"118 RIVERVALE DRIVE, RIVERVALE PLAZA","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",540118,1.38493202032929,103.901558027564
65,"1 JALAN ANAK BUKIT BUKIT TIMAH PLAZA, BUKIT TIMAH PLAZA","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",588996,1.33865676913061,103.778560470199
66,"399 YUNG SHENG ROAD, TAMAN JURONG SHOPPING CENTRE","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",610399,1.335042021408,103.720268024233
67,"638 JURONG WEST STREET 61, PIONEER MALL","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",640638,1.34159107979646,103.69702008582
68,"762 JURONG WEST STREET 75, GEK POH SHOPPING CENTRE","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",640762,1.34874357157007,103.697732094253
69,"445 FARJAR ROAD, FAJAR SHOPPING CENTRE","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",670445,1.38358044141429,103.770768312339
70,"524A JELAPANG ROAD, GREENRIDGE SHOPPING CENTRE","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",671524,1.38529556520099,103.766170532015
71,"624 CHOA CHU KANG STREET 62, YEW TEE SQUARE","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",680622,1.3982771941105,103.747182456762
72,"768 WOODLANDS AVENUE 6, WOODLANDS MART","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",730768,1.44575077511561,103.798119771491
73,"888 WOODLANDS DRIVE 50, 888 PLAZA","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",730888,1.43767919710846,103.795136736247
74,"511 CANBERRA ROAD, SEMBAWANG MART","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",750511,1.45384518348657,103.819543348907
